Year,Bananas,"Cassava, fresh","Coffee, green",Tea leaves,avg_temperature,Agrifood Systems Waste Disposal,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Energy,Enteric Fermentation,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPPU,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
2014,16082.5,13944.7,311.0,2636.1,0.5952647058823529,894.5517,45.86706,90.78048000000001,1571.9595,1510.2145,41.24099999999999,6328.169316666666,4626.3404,181.15488,0.0,62.15818333333334,13.250399999999999,17.325416666666666,75.97664285714286,127.09701666666668,183.87636,-1132.78,952.7528399999999,163.38024285714286,94.54704000000001,1347.25808,32850.62,6.4306833333333335,184.93473333333336,30.796083333333332,168.7789,533.69112,71.999575,2102.66634
2015,15933.8,12604.7,310.7,2642.1,0.6892647058823529,904.61302,50.94618,101.58006,1571.9595,1510.2145,41.24099999999999,7306.405916666667,4704.2955,193.2774,0.0,66.21991666666666,18.84665,16.380283333333335,63.78898571428572,121.03821666666666,197.25066,-1132.78,1018.6172999999999,166.82024285714286,96.64312,1369.6765599999999,32850.62,4.751283333333333,176.68626666666668,32.734033333333336,301.6155,406.60866,118.009675,2176.94754
2016,15457.4,14110.0,273.6,2648.1,0.7857352941176471,916.2436399999999,45.83514,105.45302000000001,1638.1727,1573.8572,42.957899999999995,7252.719216666667,4539.3622000000005,315.97428,0.0,66.6946,17.007416666666668,17.193033333333332,57.000299999999996,125.01031666666665,326.2254,-1132.78,1214.37994,166.04287142857143,98.46256,1325.4141599999998,32850.62,5.0030166666666664,212.08933333333334,28.054466666666666,175.104,555.6198,110.04665,2247.8542399999997
2017,15210.0,14310.0,411.2,2661.3,0.739970588235294,925.15008,48.47328,101.38856,1634.2988,1570.1158,42.869400000000006,6544.0094500000005,4530.2365,283.60236,0.0,74.84425,18.149333333333335,18.369283333333332,50.11,122.63093333333335,286.63176000000004,-1132.78,1337.42922,167.78410000000002,100.04794,1321.20072,32850.62,5.346383333333333,203.0246666666667,40.9853,180.9674,487.41564,128.63144999999997,2317.0759000000003
2018,15774.2,14411.3,487.0,2653.3,0.6804117647058824,936.7626199999999,52.91994,106.00632,1619.281,1555.7075,42.4623,6427.962699999999,4535.2182999999995,223.57403999999997,0.0,83.35578333333333,21.08375,21.463800000000003,44.040528571428574,120.24433333333332,224.77608,-1132.78,1484.68734,167.85144285714287,100.75016000000001,1316.8276799999999,32850.62,6.24615,194.70720000000003,43.9224,164.8858,458.3199000000001,116.32135,2388.9136200000003
2019,15821.0,14230.9,502.3,2640.5,0.8751176470588236,948.19496,9.759,93.16384000000001,1592.0807,1529.5672,41.7543,6615.8299,4620.5226,479.57694000000004,0.0,81.70175,19.1784,19.379,40.227557142857144,131.82638333333333,483.1227,-1132.78,1558.6746200000002,169.82302857142855,100.31392000000001,1339.4696,32850.62,5.63955,214.8953,42.53818333333333,181.9478,429.7614,116.32135,2462.7826999999997
2020,15903.1,14378.9,491.9,2651.6,0.7434411764705883,959.7382799999999,48.18876,100.62248,1602.4028,1539.4918,42.019800000000004,6642.9278,4630.4159,640.8146399999999,0.0,84.85736666666666,20.35911666666667,20.596733333333333,29.747142857142855,132.67593333333332,658.4249400000001,-1132.78,1759.6035,165.78791428571427,96.824,1316.26376,32850.62,5.9941,250.69500000000002,27.817933333333333,181.26189999999997,591.8780399999999,116.32135,2537.27372
2021,15649.8,13985.5,459.8,2648.4,0.7766470588235294,971.7956000000001,49.183620000000005,102.4632,1612.0099,1548.7279,42.267599999999995,6402.51195,4673.190600000001,283.09626,0.0,82.80421666666666,22.56206666666667,22.931549999999998,27.72984285714286,133.69925,287.69484,-1132.78,2029.21162,171.81055714285714,101.86736,1362.984,32850.62,5.9941,216.4630666666667,42.53818333333333,204.269,490.63032000000004,116.32135,2611.05732
2022,13783.4,12684.2,460.2,2646.8,0.6183235294117647,971.7956000000001,53.60064,105.62325999999999,1613.6625,1550.301,42.320699999999995,6460.5322166666665,4684.1194000000005,376.23078,0.0,82.80421666666666,22.56206666666667,22.931549999999998,27.72984285714286,133.69925,387.3168,-1132.78,2126.77082,173.34917142857142,102.676,1367.56984,32850.62,5.9941,229.6716,42.53818333333333,208.46419999999998,546.94128,126.65067499999999,2686.73066
2023,13012.5,12157.1,482.1,2648.9,0.7982058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
